group,subject,date,team,round,RT,Report,stage,ID.number,PlayerNo,Condition,HighEffort,LowEffort,Order,ShortPartnership,LongPartnership,Double,Age,Gender,H.Hexaco,E.Hexaco,X.Hexaco,A.Hexaco,C.Hexaco,O.Hexaco,SoMi,Study,Continent,Effort,Partnership
17,1,2018_9_26_11_18_53,1,3,6.26,1,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Long Partnership
17,3,2018_9_26_11_18_0,2,3,4.49,4,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Long Partnership
17,5,2018_9_26_11_19_56,3,3,7.38,4,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Long Partnership
17,7,2018_9_26_11_15_47,4,3,8.11,5,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Long Partnership
17,9,2018_9_26_11_24_30,5,3,7.04,4,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Long Partnership
17,1,2018_9_26_11_19_53,1,4,7.22,6,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,1,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Long Partnership
17,3,2018_9_26_11_18_50,2,4,4.73,6,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,1,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Long Partnership
17,5,2018_9_26_11_21_0,3,4,9.34,6,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Long Partnership
17,7,2018_9_26_11_16_39,4,4,6.13,6,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Long Partnership
17,9,2018_9_26_11_25_18,5,4,5.46,6,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Long Partnership
17,1,2018_9_26_11_20_30,1,5,8.27,3,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Long Partnership
17,3,2018_9_26_11_19_15,2,5,2.95,3,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Long Partnership
17,5,2018_9_26_11_21_48,3,5,9.01,5,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Long Partnership
17,7,2018_9_26_11_17_9,4,5,5.68,6,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Long Partnership
17,9,2018_9_26_11_25_43,5,5,5.34,6,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Long Partnership
17,1,2018_9_26_11_21_0,1,6,5.61,6,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Long Partnership
17,3,2018_9_26_11_19_50,2,6,11.39,4,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Long Partnership
17,5,2018_9_26_11_22_28,3,6,8.71,1,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Long Partnership
17,7,2018_9_26_11_17_35,4,6,6.87,5,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Long Partnership
17,9,2018_9_26_11_26_12,5,6,5.71,6,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Long Partnership
17,1,2018_9_26_11_21_52,1,7,2.93,6,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Long Partnership
17,3,2018_9_26_11_20_35,2,7,4.48,1,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Long Partnership
17,5,2018_9_26_11_23_28,3,7,9.15,6,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,1,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Long Partnership
17,7,2018_9_26_11_18_42,4,7,6.06,6,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Long Partnership
17,9,2018_9_26_11_27_8,5,7,8.01,3,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Long Partnership
17,1,2018_9_26_11_22_27,1,8,4.87,4,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Long Partnership
17,3,2018_9_26_11_21_3,2,8,4.06,5,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Long Partnership
17,5,2018_9_26_11_24_7,3,8,7.45,5,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,1,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Long Partnership
17,7,2018_9_26_11_19_5,4,8,3.31,4,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Long Partnership
17,9,2018_9_26_11_27_41,5,8,8.61,5,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Long Partnership
17,1,2018_9_26_11_23_4,1,9,4.02,2,1,21139,First Mover,Collaborative,0,1,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Long Partnership
17,3,2018_9_26_11_21_28,2,9,5.02,4,1,21846,First Mover,Collaborative,0,1,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Long Partnership
17,5,2018_9_26_11_24_51,3,9,8.34,5,1,13251,First Mover,Collaborative,0,1,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Long Partnership
17,7,2018_9_26_11_19_37,4,9,5.65,6,1,22548,First Mover,Collaborative,0,1,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Long Partnership
17,9,2018_9_26_11_28_16,5,9,9.86,5,1,21889,First Mover,Collaborative,0,1,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Long Partnership
17,1,2018_9_26_11_29_24,1,10,7,1,1,21139,First Mover,Collaborative,1,0,Mirror,0,1,1,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,High Effort,Long Partnership
17,3,2018_9_26_11_29_20,2,10,6.36,6,1,21846,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,High Effort,Long Partnership
17,5,2018_9_26_11_29_30,3,10,8.23,4,1,13251,First Mover,Collaborative,1,0,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,High Effort,Long Partnership
17,7,2018_9_26_11_29_25,4,10,6.21,4,1,22548,First Mover,Collaborative,1,0,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,High Effort,Long Partnership
17,9,2018_9_26_11_29_59,5,10,7.57,3,1,21889,First Mover,Collaborative,1,0,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,High Effort,Long Partnership
17,1,2018_9_26_11_30_10,1,11,4.29,3,1,21139,First Mover,Collaborative,1,0,Mirror,0,1,1,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,High Effort,Long Partnership
17,3,2018_9_26_11_30_7,2,11,6.94,2,1,21846,First Mover,Collaborative,1,0,Mirror,0,1,1,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,High Effort,Long Partnership
17,5,2018_9_26_11_30_2,3,11,7.44,1,1,13251,First Mover,Collaborative,1,0,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,High Effort,Long Partnership
17,7,2018_9_26_11_30_5,4,11,8.44,6,1,22548,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,High Effort,Long Partnership
17,9,2018_9_26_11_30_34,5,11,7.09,6,1,21889,First Mover,Collaborative,1,0,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,High Effort,Long Partnership
17,1,2018_9_26_11_30_40,1,12,5.9,2,1,21139,First Mover,Collaborative,1,0,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,High Effort,Long Partnership
17,3,2018_9_26_11_30_44,2,12,6.16,1,1,21846,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,High Effort,Long Partnership
17,5,2018_9_26_11_30_34,3,12,6.92,6,1,13251,First Mover,Collaborative,1,0,Mirror,0,1,1,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,High Effort,Long Partnership
17,7,2018_9_26_11_30_51,4,12,10.67,4,1,22548,First Mover,Collaborative,1,0,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,High Effort,Long Partnership
17,9,2018_9_26_11_31_0,5,12,5.61,5,1,21889,First Mover,Collaborative,1,0,Mirror,0,1,1,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,High Effort,Long Partnership
17,1,2018_9_26_11_31_36,1,13,5.71,6,1,21139,First Mover,Collaborative,1,0,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,High Effort,Long Partnership
17,3,2018_9_26_11_31_48,2,13,5.96,5,1,21846,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,High Effort,Long Partnership
17,5,2018_9_26_11_31_36,3,13,9.08,4,1,13251,First Mover,Collaborative,1,0,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,High Effort,Long Partnership
17,7,2018_9_26_11_32_0,4,13,8.41,5,1,22548,First Mover,Collaborative,1,0,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,High Effort,Long Partnership
17,9,2018_9_26_11_31_56,5,13,5.7,6,1,21889,First Mover,Collaborative,1,0,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,High Effort,Long Partnership
17,1,2018_9_26_11_32_3,1,14,3.49,6,1,21139,First Mover,Collaborative,1,0,Mirror,0,1,1,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,High Effort,Long Partnership
17,3,2018_9_26_11_32_18,2,14,6.21,5,1,21846,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,High Effort,Long Partnership
17,5,2018_9_26_11_32_6,3,14,5.68,4,1,13251,First Mover,Collaborative,1,0,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,High Effort,Long Partnership
17,7,2018_9_26_11_32_44,4,14,3.77,3,1,22548,First Mover,Collaborative,1,0,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,High Effort,Long Partnership
17,9,2018_9_26_11_32_30,5,14,3.79,5,1,21889,First Mover,Collaborative,1,0,Mirror,0,1,1,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,High Effort,Long Partnership
17,1,2018_9_26_11_32_27,1,15,4.83,1,1,21139,First Mover,Collaborative,1,0,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,High Effort,Long Partnership
17,3,2018_9_26_11_32_52,2,15,6.32,2,1,21846,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,High Effort,Long Partnership
17,5,2018_9_26_11_32_37,3,15,10.65,2,1,13251,First Mover,Collaborative,1,0,Mirror,0,1,1,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,High Effort,Long Partnership
17,7,2018_9_26_11_33_19,4,15,7.22,5,1,22548,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,High Effort,Long Partnership
17,9,2018_9_26_11_33_2,5,15,4.33,1,1,21889,First Mover,Collaborative,1,0,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,High Effort,Long Partnership
17,1,2018_9_26_11_33_23,1,16,5.33,2,1,21139,First Mover,Collaborative,1,0,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,High Effort,Long Partnership
17,3,2018_9_26_11_34_0,2,16,5.81,1,1,21846,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,High Effort,Long Partnership
17,5,2018_9_26_11_33_36,3,16,8.5,1,1,13251,First Mover,Collaborative,1,0,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,High Effort,Long Partnership
17,7,2018_9_26_11_34_22,4,16,7.89,6,1,22548,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,High Effort,Long Partnership
17,9,2018_9_26_11_34_7,5,16,7.15,5,1,21889,First Mover,Collaborative,1,0,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,High Effort,Long Partnership
17,1,2018_9_26_11_33_48,1,17,2.1,1,1,21139,First Mover,Collaborative,1,0,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,High Effort,Long Partnership
17,3,2018_9_26_11_34_35,2,17,4.68,5,1,21846,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,High Effort,Long Partnership
17,5,2018_9_26_11_34_12,3,17,6.6,2,1,13251,First Mover,Collaborative,1,0,Mirror,0,1,1,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,High Effort,Long Partnership
17,7,2018_9_26_11_34_58,4,17,8.73,5,1,22548,First Mover,Collaborative,1,0,Mirror,0,1,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,High Effort,Long Partnership
17,9,2018_9_26_11_34_54,5,17,6.48,4,1,21889,First Mover,Collaborative,1,0,Mirror,0,1,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,High Effort,Long Partnership
17,1,2018_9_26_11_34_10,1,18,4.06,4,1,21139,First Mover,Collaborative,1,0,Mirror,0,1,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,High Effort,Long Partnership
17,3,2018_9_26_11_35_9,2,18,6.89,4,1,21846,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,High Effort,Long Partnership
17,5,2018_9_26_11_34_42,3,18,5.87,4,1,13251,First Mover,Collaborative,1,0,Mirror,0,1,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,High Effort,Long Partnership
17,7,2018_9_26_11_35_40,4,18,9.68,6,1,22548,First Mover,Collaborative,1,0,Mirror,0,1,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,High Effort,Long Partnership
17,9,2018_9_26_11_35_28,5,18,4.81,4,1,21889,First Mover,Collaborative,1,0,Mirror,0,1,1,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,High Effort,Long Partnership
17,1,2018_9_26_11_35_30,1,19,7.39,1,1,21139,First Mover,Collaborative,0,1,Mirror,1,0,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Short Partnership
17,3,2018_9_26_11_36_22,2,19,6.92,6,1,21846,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Short Partnership
17,5,2018_9_26_11_36_18,3,19,8.77,6,1,13251,First Mover,Collaborative,0,1,Mirror,1,0,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Short Partnership
17,7,2018_9_26_11_36_51,4,19,6.68,4,1,22548,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Short Partnership
17,9,2018_9_26_11_37_18,5,19,6.27,1,1,21889,First Mover,Collaborative,0,1,Mirror,1,0,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Short Partnership
17,1,2018_9_26_11_36_27,1,20,33.57,2,1,21139,First Mover,Collaborative,0,1,Mirror,1,0,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Short Partnership
17,3,2018_9_26_11_37_10,2,20,6.5,1,1,21846,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Short Partnership
17,5,2018_9_26_11_36_50,3,20,6.47,3,1,13251,First Mover,Collaborative,0,1,Mirror,1,0,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Short Partnership
17,7,2018_9_26_11_37_41,4,20,6.76,4,1,22548,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Short Partnership
17,9,2018_9_26_11_37_58,5,20,12.68,1,1,21889,First Mover,Collaborative,0,1,Mirror,1,0,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Short Partnership
17,1,2018_9_26_11_36_50,1,21,3.7,2,1,21139,First Mover,Collaborative,0,1,Mirror,1,0,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Short Partnership
17,3,2018_9_26_11_37_47,2,21,5.43,4,1,21846,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Short Partnership
17,5,2018_9_26_11_37_22,3,21,6.19,6,1,13251,First Mover,Collaborative,0,1,Mirror,1,0,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Short Partnership
17,7,2018_9_26_11_38_12,4,21,4.72,6,1,22548,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Short Partnership
17,9,2018_9_26_11_38_39,5,21,6.77,6,1,21889,First Mover,Collaborative,0,1,Mirror,1,0,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Short Partnership
17,1,2018_9_26_11_39_38,1,22,6.2,3,1,21139,First Mover,Collaborative,0,1,Mirror,1,0,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Short Partnership
17,3,2018_9_26_11_39_34,2,22,6.19,3,1,21846,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Short Partnership
17,5,2018_9_26_11_39_42,3,22,7.57,5,1,13251,First Mover,Collaborative,0,1,Mirror,1,0,1,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Short Partnership
17,7,2018_9_26_11_39_36,4,22,5.62,6,1,22548,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Short Partnership
17,9,2018_9_26_11_39_48,5,22,7.02,2,1,21889,First Mover,Collaborative,0,1,Mirror,1,0,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Short Partnership
17,1,2018_9_26_11_40_5,1,23,3.26,3,1,21139,First Mover,Collaborative,0,1,Mirror,1,0,1,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Short Partnership
17,3,2018_9_26_11_40_19,2,23,8.53,2,1,21846,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Short Partnership
17,5,2018_9_26_11_40_18,3,23,6.74,1,1,13251,First Mover,Collaborative,0,1,Mirror,1,0,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Short Partnership
17,7,2018_9_26_11_40_1,4,23,2.48,5,1,22548,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Short Partnership
17,9,2018_9_26_11_40_25,5,23,7.83,5,1,21889,First Mover,Collaborative,0,1,Mirror,1,0,1,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Short Partnership
17,1,2018_9_26_11_40_28,1,24,3.97,1,1,21139,First Mover,Collaborative,0,1,Mirror,1,0,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Short Partnership
17,3,2018_9_26_11_40_49,2,24,6.52,4,1,21846,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Short Partnership
17,5,2018_9_26_11_40_48,3,24,5.93,4,1,13251,First Mover,Collaborative,0,1,Mirror,1,0,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Short Partnership
17,7,2018_9_26_11_40_31,4,24,6.43,4,1,22548,First Mover,Collaborative,0,1,Mirror,1,0,1,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Short Partnership
17,9,2018_9_26_11_40_58,5,24,6.93,3,1,21889,First Mover,Collaborative,0,1,Mirror,1,0,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Short Partnership
17,1,2018_9_26_11_42_6,1,25,5.03,6,1,21139,First Mover,Collaborative,0,1,Mirror,1,0,1,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Short Partnership
17,3,2018_9_26_11_42_13,2,25,8.67,4,1,21846,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Short Partnership
17,5,2018_9_26_11_42_28,3,25,7.72,2,1,13251,First Mover,Collaborative,0,1,Mirror,1,0,0,NA,1,5.3,4,4.3,4.1,4.5,5.1,2.25,Humanities,Europe,Low Effort,Short Partnership
17,7,2018_9_26_11_42_13,4,25,7.22,3,1,22548,First Mover,Collaborative,0,1,Mirror,1,0,0,22,1,2.8,3.8,5.4,4,4.3,4,2,Economics,Asia,Low Effort,Short Partnership
17,9,2018_9_26_11_42_14,5,25,6.91,4,1,21889,First Mover,Collaborative,0,1,Mirror,1,0,0,33,0,4.2,5.4,4.6,4.3,3.9,4.2,2.3333333333333335,Economics,Asia,Low Effort,Short Partnership
17,1,2018_9_26_11_42_42,1,26,4.98,4,1,21139,First Mover,Collaborative,0,1,Mirror,1,0,0,19,0,4.7,4,4.3,4.5,4.7,5.2,2,Business,Asia,Low Effort,Short Partnership
17,3,2018_9_26_11_42_41,2,26,6.86,3,1,21846,First Mover,Collaborative,0,1,Mirror,1,0,1,22,1,4,4,4,4.2,4,4.2,2.75,Business,Asia,Low Effort,Short Partnership
